fetched_at,commence_time,home_team,away_team,bookmaker,market,team,price,point
20260312,2026-03-12T16:07:03Z,Ohio State Buckeyes,Iowa Hawkeyes,betmgm,totals,Under,-115,130.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,draftkings,h2h,Kentucky Wildcats,-166,
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,draftkings,h2h,Missouri Tigers,140,
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,draftkings,spreads,Kentucky Wildcats,-118,-2.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,draftkings,spreads,Missouri Tigers,-102,2.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,draftkings,totals,Over,-110,148.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,draftkings,totals,Under,-110,148.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,fanduel,h2h,Kentucky Wildcats,-154,
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,fanduel,h2h,Missouri Tigers,128,
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,fanduel,spreads,Kentucky Wildcats,-120,-2.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,fanduel,spreads,Missouri Tigers,-102,2.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,fanduel,totals,Over,-115,148.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,fanduel,totals,Under,-105,148.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,pinnacle,h2h,Kentucky Wildcats,-146,
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,pinnacle,h2h,Missouri Tigers,125,
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,pinnacle,spreads,Kentucky Wildcats,-102,-3.0
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,pinnacle,spreads,Missouri Tigers,-114,3.0
